created_at,id,in_reply_to_screen_name,in_reply_to_user_id,retweeted_id,retweeted_screen_name,user_mentions_screen_name,user_mentions_id,text,user_id,screen_name,location,followersCount,replyCount,retweetCount,likeCount,quoteCount,latitudes,longitudes,withinQ
2020-11-12 21:38:32+00:00,1.33E+18,https://twitter.com/halo3gqd,1.33E+18,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/Emp2EBgXIAAZlYx.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/Emp2EBgXIAAZlYx.mp4', bitrate=0)])]","[User(username='halo3gqd', id=1286313773628891136, displayname='Deplorable President Elect 🇨🇦🍁', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.33E+18,@halo3gqd #TrumpWon https://t.co/NXRzvUCueM,31077001,rubeeye127,"Upstate NY, USA",2961,0,0,0,0,40.7263224,-73.9864498,TRUE
2020-11-12 21:41:23+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon https://t.co/hWbSCsEo7d,8.24E+17,scott_bunton,Okatie SC,663,0,0,0,0,32.35214,-80.97816,TRUE
2020-11-12 21:41:39+00:00,1.33E+18,,,,,,1.33E+18,Yet  we are supposed to believe there were some big blue wave of a Biden landslide??  #VoterFraud #TrumpWon https://t.co/N0dLEmDm6K,50317343,EstesRC,"Texas, USA",941,0,0,0,0,31.8160381,-99.5120986,TRUE
2020-11-12 21:43:28+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon,2971502467,Th3R4v3nW4tch3s,"San Dimas, CA",1127,0,0,0,1,34.1066756,-117.8067257,TRUE
2020-11-12 21:43:55+00:00,1.33E+18,https://twitter.com/rlDonaldTrumpJr,1.33E+18,,,"[User(username='rlDonaldTrumpJr', id=1326983168965173250, displayname='Donald Trump Jr.', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.33E+18,@rlDonaldTrumpJr @realDonaldTrump #TrumpWon,4804450021,TexasMelissaA,TEXAS,340,0,0,0,0,31.8160381,-99.5120986,TRUE
2020-11-12 21:44:13+00:00,1.33E+18,,,,,"[User(username='ShyChump', id=1321338895879954434, displayname='🇺🇸Shy Kraken🇺🇸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.33E+18,@ShyChump #trumpwon,46154107,davet79,"Calimesa , ca",1019,0,0,0,0,34.0039044,-117.0619774,TRUE
2020-11-12 21:46:31+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon https://t.co/CjiVM3wmcn,2683938841,johnshewchuk1,"Beaverton, OR",8922,0,0,0,0,45.4871723,-122.80378,TRUE
2020-11-12 21:47:57+00:00,1.33E+18,,,,,,1.33E+18,What if #TrumpWon,16678416,toddpearage,"Pottstown, PA",1161,0,0,1,0,40.2452976,-75.6496424,TRUE
2020-11-12 21:48:20+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon,55113653,ashbeth34,Texas ,4450,0,0,2,0,31.8160381,-99.5120986,TRUE
2020-11-12 21:49:52+00:00,1.33E+18,,,,,,1.33E+18,#trumpwon,386000690,AdamDean75,"Pocono Mountains, PA",933,0,0,0,0,41.1276424,-75.3890811,TRUE
2020-11-12 21:50:59+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon https://t.co/DwYJRZTRdN,1.00E+18,GeorgieLees1,Southern California,4,0,0,0,0,34.0441464,-118.2446634,TRUE
2020-11-12 21:58:30+00:00,1.33E+18,,,,,"[User(username='JoeBiden', id=939091, displayname='Joe Biden', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.33E+18,@JoeBiden is not the President Elect. #Trumpwon,7.30E+17,AndrewAZRealtor,"Arizona, USA",31,0,0,1,0,34.395342,-111.763275,TRUE
2020-11-12 21:59:53+00:00,1.33E+18,,,,,,1.33E+18,#Trumpwon,1.32E+18,dcaputo4,"Morganton, NC",16,0,0,0,0,35.7454291,-81.6870837,TRUE
2020-11-12 22:00:47+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon https://t.co/yUKPrCzJpM,2461228384,msyoung2222,"Tennessee, USA",5128,0,0,0,0,35.7730076,-86.2820081,TRUE
2020-11-12 22:02:01+00:00,1.33E+18,,,,,,1.33E+18,"Its clear, Joe Biden will never be President of the United States of America.

#TrumpWon",1.17E+18,3sidedstory,California,5118,0,2,9,0,36.7014631,-118.755997,TRUE
2020-11-12 22:13:22+00:00,1.33E+18,https://twitter.com/DC_Draino,1.33E+18,,,"[User(username='DC_Draino', id=875856268056969216, displayname='Rogan O’Handley 🇺🇸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1.33E+18,@DC_Draino Audit every state &amp; county that used Dominion! #TrumpWon,352834112,FreelyPardoned,"Long Beach, CA",5,3,10,52,4,33.7690164,-118.191604,TRUE
2020-11-12 22:13:59+00:00,1.33E+18,,,,,,1.33E+18,#TrumpWon,8.03E+17,amynichole6580,"Alabama, USA",101,0,0,0,0,33.2588817,-86.8295337,TRUE
