created_at,id,in_reply_to_screen_name,in_reply_to_user_id,retweeted_id,retweeted_screen_name,user_mentions_screen_name,user_mentions_id,text,user_id,screen_name,location,followersCount,replyCount,retweetCount,likeCount,quoteCount
2020-11-07 18:20:08+00:00,1325140999752986631,https://twitter.com/KelemenCari,1.3251300288965386e+18,,,"[User(username='KelemenCari', id=736989573201301504, displayname='Cari Kelemen', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='prayingmedic', id=83932539, displayname='Praying Medic', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325130028896538624,"@KelemenCari @prayingmedic The awake people in the UK &amp; Ireland know what's going on. #TrumpWon Dead people voting: Sort these by date of birth in ascending order. Mail-Ins from people born in 1800. All on Jan 1st.  That's def evidence of fraud, not a ClericalError #StopTheSteal
https://t.co/VZdRHP5Rfk",23183433,Annsk1,UK & Ireland,2123,2,3,13,3
2020-11-07 18:15:51+00:00,1325139920558546944,,,,,,1325139920558546944,"#NoCheaterInChief 
Recount in EVERY state is needed. No way that senile old hair sniffing asshole won a fair election!!
#trumpWon",18966232,NeverBidenUSA1,"Illinois, USA",781,0,0,0,0
2020-11-07 18:15:25+00:00,1325139811607343104,,,,,,1325139811607343104,#BidenIsACheat #TrumpWon,1148870651270311936,MaryLou4559,"England, United Kingdom",2936,0,0,1,0
2020-11-07 18:13:43+00:00,1325139381846355971,,,,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/EmPXPdCVoAE-qa7.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/EmPXPdCVoAE-qa7.mp4', bitrate=0)])]",,1325139381846355971,Democracy will not die without a fight! #TrumpWon https://t.co/R4tVJPGaeL,390360667,twentynutz,Nation of Chaz,258,0,0,0,0
2020-11-07 18:12:16+00:00,1325139018472808448,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EmPW6axXcAMILcQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmPW6axXcAMILcQ?format=jpg&name=large')]",,1325139018472808448,The media doesn’t get to declare a winner 😡 #TrumpWon #MSM #EnemyOfThePeople # https://t.co/j1oo9o5XI2,466837498,Shellricketts,United States,1114,0,0,2,0
2020-11-07 18:07:13+00:00,1325137748290793474,,,,,,1325137748290793474,It’s sickening and makes no sense since #PresidentTrump won seats for the very same States for Congress that they say he lost. NEVER HAPPENED!#TrumpWon #AmericaFirst https://t.co/IK0Em4agYu,1156748209169018880,TalkingStraigh2,"Los Angeles, CA",37,0,0,0,0
2020-11-07 18:03:30+00:00,1325136812508065795,,,,,,1325136812508065795,"Everyone tweet storm ##FakeElection
@#TrumpWon",263785774,BloodFever,USA Long Beach,212,0,0,0,0
2020-11-07 18:01:27+00:00,1325136297221099521,,,,,,1325136297221099521,"#TrumpWon
#GodWinsALWAYS https://t.co/uxReJ4ShaL",21866032,edlsen,Middle America,2689,0,0,0,0
2020-11-07 18:00:14+00:00,1325135989489065984,,,,,,1325135989489065984,"If #Trump hadn’t killed so many of his supporters to #COVID19 with calling it a #hoax, he might have actually won #Geogia and  #Pennsylania .  #TrumpWon #TrumpIsLosing",362041717,1BayNaam,United States,83,0,0,0,0
2020-11-07 17:59:28+00:00,1325135798837129222,,,,,"[User(username='realDonaldTrump', id=25073877, displayname='Donald J. Trump', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='POTUS', id=1349149096909668363, displayname='President Biden', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]",1325135798837129222,"💥NO COMMENT #MainstreamMedia 

https://t.co/POP9KcfiLC

 #TrumpWon #StopTheSteal #StopTheFraud 

@realDonaldTrump @POTUS

#Trump2020 #Elections2020  #Election2020     #TRUMP2020ToSaveAmerica #TRUMP2020ToSaveTheWorld 
#SupremeCourtOfTheUnitedState",818876539202891776,henriette_nette,Wahlheimat: Eifel,6140,2,8,18,2
